keyword,title,price,rating,reviews,platform,delivery,delivery_days,price_missing,rating_missing,reviews_missing,delivery_days_missing
office chair ergonomic,HP office chair ergonomic Model 934 !!!,42606.0,3.0,3555.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,Sony power bank fast charging Model 242,17801.0,3.4,2910.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,Dell microwave oven convection Model 190,41050.0,4.4,1230.0,Reliance Digital,Free Delivery,,False,False,False,True
power bank fast charging,Philips power bank fast charging Model 319,38764.0,3.9,416.0,Croma,5 Days,5.0,False,True,False,False
power bank fast charging,Samsung power bank fast charging Model 461,2621.0,4.9,112.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,Boat power bank fast charging Model 133,4165.0,3.4,2655.0,Croma,5 Days,5.0,False,False,False,False
office chair ergonomic,Philips office chair ergonomic Model 510,48400.0,4.8,469.0,Reliance Digital,Free Delivery,,False,False,False,True
men running shoes,Boat men running shoes Model 369,22398.0,3.6,1998.0,Flipkart,2 Days,2.0,True,False,False,False
microwave oven convection,Sony microwave oven convection Model 340,24180.5,4.3,4487.0,Reliance Digital,5 Days,5.0,True,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 416 !!!,25335.0,3.7,1943.0,Croma,Free Delivery,,True,False,False,True
air fryer India,Philips air fryer India Model 746,24365.0,4.0,4869.0,Croma,Free Delivery,,True,False,False,True
men running shoes,LG men running shoes Model 542,22398.0,3.8,2690.0,Reliance Digital,5 Days,5.0,True,False,False,False
air fryer India,Philips air fryer India Model 250,32487.0,4.5,2194.0,Reliance Digital,Free Delivery,,False,False,False,True
men running shoes,LG men running shoes Model 220,13243.0,3.7,1513.0,Flipkart,Free Delivery,,False,False,False,True
microwave oven convection,Dell microwave oven convection Model 363,27413.0,3.1,1596.0,Flipkart,2 Days,2.0,False,False,False,False
power bank fast charging,HP power bank fast charging Model 389,18862.0,4.7,4825.0,Flipkart,5 Days,5.0,False,False,False,False
air fryer India,Puma air fryer India Model 420,19293.0,3.5,721.0,Amazon,2 Days,2.0,False,False,False,False
air fryer India,Dell air fryer India Model 471,25906.0,2.8,2582.0,Reliance Digital,Free Delivery,,False,False,False,True
men running shoes,Puma men running shoes Model 302,46676.0,3.0,1248.0,Flipkart,Free Delivery,,False,False,False,True
air fryer India,Sony air fryer India Model 232,44203.0,4.7,2799.0,Croma,Free Delivery,,False,False,False,True
power bank fast charging,Dell power bank fast charging Model 386,27396.0,4.2,962.0,Reliance Digital,Free Delivery,,True,False,False,True
microwave oven convection,HP microwave oven convection Model 285 !!!,24180.5,3.8,2826.0,Flipkart,2 Days,2.0,True,True,False,False
air fryer India,Puma air fryer India Model 349,30268.0,4.2,3941.0,Croma,Free Delivery,,False,False,False,True
men running shoes,Boat men running shoes Model 401,146220.0,3.2,1261.0,Reliance Digital,5 Days,5.0,False,False,False,False
power bank fast charging,Nike power bank fast charging Model 369 !!!,44892.0,3.9,383.0,Amazon,2 Days,2.0,False,False,False,False
microwave oven convection,HP microwave oven convection Model 284,44322.0,4.3,2946.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,Boat air fryer India Model 908,41753.0,4.3,3905.0,Reliance Digital,Free Delivery,,False,False,False,True
office chair ergonomic,LG office chair ergonomic Model 572,23787.0,4.4,2192.0,Croma,Free Delivery,,False,False,False,True
men running shoes,Nike men running shoes Model 761,22667.0,4.7,1929.0,Flipkart,Free Delivery,,False,False,False,True
office chair ergonomic,LG office chair ergonomic Model 655,41827.0,4.1,2272.0,Flipkart,Free Delivery,,False,False,True,True
air fryer India,LG air fryer India Model 811,33630.0,4.0,1597.0,Reliance Digital,Free Delivery,,False,False,False,True
microwave oven convection,Puma microwave oven convection Model 556,192440.0,4.3,4490.0,Croma,2 Days,2.0,False,False,False,False
air fryer India,LG air fryer India Model 528,48545.0,4.5,309.0,Flipkart,5 Days,5.0,False,False,False,False
microwave oven convection,LG microwave oven convection Model 606,30148.0,2.7,4899.0,Croma,5 Days,5.0,False,False,False,False
power bank fast charging,Dell power bank fast charging Model 949,26802.0,2.9,3666.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,HP power bank fast charging Model 389,27396.0,3.9,1152.0,Croma,5 Days,5.0,True,True,False,False
power bank fast charging,Sony power bank fast charging Model 531,32369.0,2.6,2525.0,Flipkart,Free Delivery,,False,False,False,True
men running shoes,Samsung men running shoes Model 624 !!!,22398.0,3.7,4218.0,Croma,5 Days,5.0,True,True,False,False
office chair ergonomic,Nike office chair ergonomic Model 985,46962.0,3.6,526.0,Croma,2 Days,2.0,False,False,False,False
power bank fast charging,HP power bank fast charging Model 469,23432.0,3.3,2354.5,Croma,2 Days,2.0,False,False,True,False
power bank fast charging,Samsung power bank fast charging Model 954,16114.0,3.1,3197.0,Reliance Digital,2 Days,2.0,False,False,False,False
power bank fast charging,Puma power bank fast charging Model 144,36520.0,3.1,3011.0,Reliance Digital,5 Days,5.0,False,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 799,48982.0,3.3,3233.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,Samsung power bank fast charging Model 447 !!!,14024.0,4.0,3085.0,Reliance Digital,Free Delivery,,False,False,False,True
air fryer India,LG air fryer India Model 152,28647.0,3.9,3757.0,Flipkart,5 Days,5.0,False,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 321,17858.0,3.7,666.0,Flipkart,5 Days,5.0,False,False,False,False
air fryer India,Nike air fryer India Model 609,34421.0,2.8,660.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,Boat power bank fast charging Model 295,17152.0,3.9,1879.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,Samsung power bank fast charging Model 308 !!!,780.0,2.9,2239.0,Croma,2 Days,2.0,False,False,False,False
men running shoes,Puma men running shoes Model 846,1264.0,4.2,1855.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,Dell air fryer India Model 255,26154.0,3.4,1644.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,Sony power bank fast charging Model 220,35128.0,4.3,1617.0,Amazon,5 Days,5.0,False,False,False,False
air fryer India,Boat air fryer India Model 553,24365.0,4.5,1543.0,Amazon,2 Days,2.0,True,False,False,False
microwave oven convection,HP microwave oven convection Model 161,34850.0,4.7,1498.0,Amazon,5 Days,5.0,False,False,False,False
power bank fast charging,Puma power bank fast charging Model 131,8933.0,3.8,143.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 677 !!!,20577.0,3.6,3338.0,Croma,5 Days,5.0,False,False,False,False
power bank fast charging,LG power bank fast charging Model 664 !!!,34516.0,4.0,2812.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Puma microwave oven convection Model 871,11766.0,4.5,4784.0,Reliance Digital,5 Days,5.0,False,False,False,False
men running shoes,HP men running shoes Model 660 !!!,22398.0,4.1,1332.0,Croma,5 Days,5.0,True,False,False,False
power bank fast charging,Philips power bank fast charging Model 956,22658.0,4.3,4250.0,Amazon,2 Days,2.0,False,False,False,False
air fryer India,HP air fryer India Model 320,24365.0,3.4,381.0,Reliance Digital,Free Delivery,,True,False,False,True
air fryer India,Puma air fryer India Model 328 !!!,22632.0,4.8,2008.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Boat microwave oven convection Model 117,12123.0,4.6,4412.0,Flipkart,5 Days,5.0,False,False,False,False
microwave oven convection,Philips microwave oven convection Model 955,24180.5,4.3,4330.0,Flipkart,5 Days,5.0,True,False,False,False
power bank fast charging,HP power bank fast charging Model 832,30429.0,4.4,4501.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,Sony power bank fast charging Model 552,1240.0,4.0,1072.0,Flipkart,Free Delivery,,False,False,False,True
men running shoes,Nike men running shoes Model 523,19303.0,4.7,3172.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,Sony office chair ergonomic Model 587 !!!,2295.0,3.7,4417.0,Croma,5 Days,5.0,False,True,False,False
microwave oven convection,Nike microwave oven convection Model 158,325160.0,3.5,4292.0,Croma,5 Days,5.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 360,24626.0,2.8,3256.0,Croma,Free Delivery,,False,False,False,True
power bank fast charging,Dell power bank fast charging Model 204,49421.0,2.6,1928.0,Flipkart,Free Delivery,,False,False,False,True
air fryer India,Nike air fryer India Model 534 !!!,17928.0,3.4,3731.0,Reliance Digital,2 Days,2.0,False,False,False,False
men running shoes,LG men running shoes Model 145,30111.0,3.1,702.0,Reliance Digital,Free Delivery,,False,False,False,True
air fryer India,Philips air fryer India Model 360,17016.0,3.5,2921.0,Reliance Digital,Free Delivery,,False,False,False,True
power bank fast charging,HP power bank fast charging Model 824,3841.0,3.8,1977.0,Amazon,5 Days,5.0,False,False,False,False
microwave oven convection,Samsung microwave oven convection Model 836,17755.0,3.3,903.0,Reliance Digital,Free Delivery,,False,False,False,True
power bank fast charging,Samsung power bank fast charging Model 858,4182.0,4.4,2560.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,LG power bank fast charging Model 466,49248.0,3.9,1875.0,Amazon,5 Days,5.0,False,True,False,False
men running shoes,Nike men running shoes Model 143,44839.0,2.6,3003.0,Flipkart,Free Delivery,,False,False,False,True
power bank fast charging,LG power bank fast charging Model 591,27396.0,3.4,2625.0,Amazon,Free Delivery,,True,False,False,True
office chair ergonomic,Boat office chair ergonomic Model 149,17627.0,3.6,2289.0,Amazon,2 Days,2.0,False,False,False,False
power bank fast charging,LG power bank fast charging Model 249,27396.0,2.8,2046.0,Flipkart,Free Delivery,,True,False,False,True
office chair ergonomic,Puma office chair ergonomic Model 996 !!!,66760.0,3.1,2181.0,Reliance Digital,5 Days,5.0,False,False,False,False
office chair ergonomic,Philips office chair ergonomic Model 390,25335.0,3.7,2563.0,Reliance Digital,5 Days,5.0,True,True,False,False
power bank fast charging,LG power bank fast charging Model 549,32260.0,4.7,1850.0,Reliance Digital,5 Days,5.0,False,False,False,False
power bank fast charging,Philips power bank fast charging Model 461,27396.0,3.1,4526.0,Amazon,2 Days,2.0,True,False,False,False
office chair ergonomic,Sony office chair ergonomic Model 269 !!!,35424.0,3.8,886.0,Amazon,5 Days,5.0,False,False,False,False
air fryer India,Philips air fryer India Model 729,21132.0,2.7,4262.0,Croma,Free Delivery,,False,False,False,True
men running shoes,Philips men running shoes Model 417 !!!,12377.0,4.1,1839.0,Flipkart,5 Days,5.0,False,False,False,False
power bank fast charging,Nike power bank fast charging Model 843,21420.0,4.5,465.0,Flipkart,Free Delivery,,False,False,False,True
office chair ergonomic,Nike office chair ergonomic Model 207,18384.0,3.9,3798.0,Flipkart,2 Days,2.0,False,False,False,False
microwave oven convection,HP microwave oven convection Model 936,39408.0,4.2,3196.0,Croma,5 Days,5.0,False,False,False,False
air fryer India,Philips air fryer India Model 269,24365.0,3.6,1770.0,Flipkart,5 Days,5.0,True,False,False,False
office chair ergonomic,LG office chair ergonomic Model 518 !!!,37579.0,3.0,2735.0,Amazon,2 Days,2.0,False,False,False,False
men running shoes,Boat men running shoes Model 196,6965.0,4.7,281.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,LG power bank fast charging Model 926,5841.0,3.5,1593.0,Croma,5 Days,5.0,False,False,False,False
power bank fast charging,Samsung power bank fast charging Model 204,35892.0,4.0,4811.0,Amazon,2 Days,2.0,False,False,False,False
men running shoes,Boat men running shoes Model 488,34899.0,4.3,2120.0,Amazon,5 Days,5.0,False,False,False,False
air fryer India,Philips air fryer India Model 777,24223.0,2.9,2765.0,Reliance Digital,5 Days,5.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 336,25335.0,3.3,4418.0,Flipkart,2 Days,2.0,True,False,False,False
air fryer India,LG air fryer India Model 328,24365.0,3.9,2799.0,Reliance Digital,5 Days,5.0,True,False,False,False
microwave oven convection,LG microwave oven convection Model 465,35692.0,3.1,560.0,Flipkart,2 Days,2.0,False,False,False,False
men running shoes,Philips men running shoes Model 921,6136.0,3.7,3343.0,Croma,Free Delivery,,False,True,False,True
men running shoes,Sony men running shoes Model 459,42264.0,3.5,3067.0,Flipkart,2 Days,2.0,False,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 906,23890.0,3.7,2464.0,Reliance Digital,2 Days,2.0,False,True,False,False
power bank fast charging,Puma power bank fast charging Model 949,87970.0,4.8,1988.0,Amazon,Free Delivery,,False,False,False,True
men running shoes,HP men running shoes Model 911,9329.0,4.5,418.0,Amazon,5 Days,5.0,False,False,False,False
air fryer India,HP air fryer India Model 837,20648.0,3.8,866.0,Reliance Digital,5 Days,5.0,False,True,False,False
power bank fast charging,LG power bank fast charging Model 340 !!!,40436.0,3.9,4359.0,Reliance Digital,2 Days,2.0,False,True,False,False
men running shoes,Nike men running shoes Model 543,22398.0,3.7,2416.0,Flipkart,5 Days,5.0,True,False,False,False
microwave oven convection,Nike microwave oven convection Model 856,27091.0,4.1,277.0,Croma,5 Days,5.0,False,False,False,False
men running shoes,Boat men running shoes Model 803,20987.0,4.5,3826.0,Flipkart,2 Days,2.0,False,False,False,False
power bank fast charging,Philips power bank fast charging Model 895,27396.0,4.6,2596.0,Croma,2 Days,2.0,True,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 698,18380.0,3.1,1698.0,Reliance Digital,Free Delivery,,False,False,False,True
office chair ergonomic,Dell office chair ergonomic Model 875,32126.0,3.2,3250.0,Reliance Digital,5 Days,5.0,False,False,False,False
air fryer India,Philips air fryer India Model 596,21238.0,4.8,2607.0,Flipkart,Free Delivery,,False,False,False,True
men running shoes,Boat men running shoes Model 933,22398.0,3.7,4626.0,Reliance Digital,5 Days,5.0,True,True,False,False
air fryer India,Samsung air fryer India Model 271,24365.0,3.0,2163.0,Reliance Digital,5 Days,5.0,True,False,False,False
office chair ergonomic,HP office chair ergonomic Model 303,1279.0,4.9,4932.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,Philips office chair ergonomic Model 477 !!!,10866.0,3.7,4350.0,Croma,5 Days,5.0,False,True,False,False
power bank fast charging,Philips power bank fast charging Model 642,28225.0,4.6,2579.0,Reliance Digital,2 Days,2.0,False,False,False,False
air fryer India,Nike air fryer India Model 718,29744.0,4.3,767.0,Croma,5 Days,5.0,False,False,False,False
men running shoes,Puma men running shoes Model 786,46190.0,4.4,4850.0,Reliance Digital,2 Days,2.0,False,False,False,False
air fryer India,Philips air fryer India Model 430,24365.0,3.8,2842.0,Amazon,2 Days,2.0,True,True,False,False
power bank fast charging,Puma power bank fast charging Model 482,45981.0,4.7,4614.0,Croma,Free Delivery,,False,False,False,True
air fryer India,Samsung air fryer India Model 258,24365.0,3.4,1089.0,Croma,2 Days,2.0,True,False,False,False
office chair ergonomic,Puma office chair ergonomic Model 101,25335.0,4.7,2219.0,Amazon,Free Delivery,,True,False,False,True
air fryer India,Philips air fryer India Model 969,34115.0,3.7,2589.0,Reliance Digital,2 Days,2.0,False,False,False,False
men running shoes,Puma men running shoes Model 582,28024.0,3.7,80.0,Flipkart,Free Delivery,,False,True,False,True
men running shoes,Puma men running shoes Model 698,10209.0,4.2,1801.0,Reliance Digital,5 Days,5.0,False,False,False,False
air fryer India,Samsung air fryer India Model 828,46174.0,3.8,996.0,Flipkart,2 Days,2.0,False,False,False,False
power bank fast charging,Samsung power bank fast charging Model 560,27396.0,3.9,3606.0,Reliance Digital,5 Days,5.0,True,False,False,False
power bank fast charging,Boat power bank fast charging Model 839,14552.0,3.0,3900.0,Amazon,Free Delivery,,False,False,False,True
power bank fast charging,Boat power bank fast charging Model 674,37226.0,4.0,240.0,Amazon,Free Delivery,,False,False,False,True
microwave oven convection,Dell microwave oven convection Model 467,2674.0,4.7,1877.0,Amazon,2 Days,2.0,False,False,False,False
office chair ergonomic,LG office chair ergonomic Model 721,29876.0,4.9,2562.0,Croma,Free Delivery,,False,False,False,True
office chair ergonomic,HP office chair ergonomic Model 674,25437.0,3.0,2042.0,Croma,2 Days,2.0,False,False,False,False
microwave oven convection,Samsung microwave oven convection Model 355,19714.0,2.5,658.0,Amazon,Free Delivery,,False,False,False,True
men running shoes,HP men running shoes Model 182,47672.0,3.9,2249.0,Reliance Digital,2 Days,2.0,False,False,True,False
men running shoes,HP men running shoes Model 331,29643.0,4.6,359.0,Reliance Digital,2 Days,2.0,False,False,False,False
power bank fast charging,Sony power bank fast charging Model 702,27396.0,4.7,4883.0,Croma,5 Days,5.0,True,False,False,False
office chair ergonomic,Boat office chair ergonomic Model 293 !!!,14351.0,3.9,1098.0,Flipkart,5 Days,5.0,False,False,False,False
air fryer India,Nike air fryer India Model 642,6086.0,3.8,4274.0,Flipkart,5 Days,5.0,False,True,False,False
air fryer India,HP air fryer India Model 311,43097.0,3.6,1168.0,Reliance Digital,2 Days,2.0,False,False,False,False
office chair ergonomic,HP office chair ergonomic Model 929,48052.0,3.8,37.0,Croma,2 Days,2.0,False,False,False,False
office chair ergonomic,Nike office chair ergonomic Model 400 !!!,14284.0,4.7,1381.0,Croma,Free Delivery,,False,False,False,True
men running shoes,Nike men running shoes Model 617,17198.0,3.8,3865.0,Croma,5 Days,5.0,False,False,False,False
power bank fast charging,HP power bank fast charging Model 745,30753.0,4.6,884.0,Reliance Digital,2 Days,2.0,False,False,False,False
men running shoes,Philips men running shoes Model 827,22398.0,2.7,2023.0,Flipkart,Free Delivery,,True,False,False,True
microwave oven convection,LG microwave oven convection Model 103,45883.0,4.5,1488.0,Flipkart,2 Days,2.0,False,False,False,False
